Date,Hour,Central/Western,Southern,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Tseung Kwan O,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,North,Tap Mun,Causeway Bay,Central,Mong Kok
1/1/2024,1,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,5
1/1/2024,2,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5
1/1/2024,3,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5
1/1/2024,4,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,5
1/1/2024,5,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5
1/1/2024,6,5,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5
1/1/2024,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/1/2024,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/1/2024,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/1/2024,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/1/2024,11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/1/2024,12,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/1/2024,13,5,6,6,6,5,5,5,6,6,6,5,6,5,5,6,6,5,6
1/1/2024,14,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6
1/1/2024,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1/1/2024,16,6,7,6,6,6,6,6,7,6,7,6,6,6,6,7,6,6,6
1/1/2024,17,6,7,6,6,6,6,6,7,7,7,6,6,6,6,7,6,6,6
1/1/2024,18,6,7,6,7,6,6,6,7,7,7,6,7,6,6,7,7,6,6
1/1/2024,19,6,7,6,7,6,6,6,7,6,7,6,7,6,6,7,7,6,6
1/1/2024,20,6,7,6,7,6,6,6,7,6,6,6,7,6,6,7,7,6,6
1/1/2024,21,6,7,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6
1/1/2024,22,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1/1/2024,23,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1/1/2024,24,6,6,5,6,5,6,6,6,6,6,6,6,6,6,5,5,5,6
1/2/2024,1,5,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
1/2/2024,2,5,6,5,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5
1/2/2024,3,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
1/2/2024,4,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5
1/2/2024,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1/2/2024,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
