Datetime,Automatic Weather Station,Grass Temperature(degree Celsius)
2024-01-01 00:00:00,King's Park,18.45
2024-01-01 00:00:00,Ta Kwu Ling,17.45
2024-01-01 00:00:00,Tai Mo Shan,12.625
2024-01-01 01:00:00,King's Park,18.48
2024-01-01 01:00:00,Ta Kwu Ling,17.28
2024-01-01 01:00:00,Tai Mo Shan,12.5
2024-01-01 02:00:00,King's Park,18.514285714285712
2024-01-01 02:00:00,Ta Kwu Ling,17.242857142857144
2024-01-01 02:00:00,Tai Mo Shan,12.442857142857141
2024-01-01 03:00:00,King's Park,18.22
2024-01-01 03:00:00,Ta Kwu Ling,17.04
2024-01-01 03:00:00,Tai Mo Shan,12.360000000000001
2024-01-01 04:00:00,King's Park,18.257142857142856
2024-01-01 04:00:00,Ta Kwu Ling,16.914285714285715
2024-01-01 04:00:00,Tai Mo Shan,12.214285714285714
2024-01-01 05:00:00,King's Park,18.0
2024-01-01 05:00:00,Ta Kwu Ling,16.44
2024-01-01 05:00:00,Tai Mo Shan,12.1
2024-01-01 06:00:00,King's Park,17.771428571428572
2024-01-01 06:00:00,Ta Kwu Ling,17.24285714285714
2024-01-01 06:00:00,Tai Mo Shan,12.4
2024-01-01 07:00:00,King's Park,17.88
2024-01-01 07:00:00,Ta Kwu Ling,17.439999999999998
2024-01-01 07:00:00,Tai Mo Shan,12.66
2024-01-01 08:00:00,King's Park,17.975
2024-01-01 08:00:00,Ta Kwu Ling,18.0
2024-01-01 08:00:00,Tai Mo Shan,13.0
2024-01-01 09:00:00,King's Park,18.25925925925926
2024-01-01 09:00:00,Ta Kwu Ling,18.455555555555556
2024-01-01 09:00:00,Tai Mo Shan,13.525925925925925
2024-01-01 10:00:00,King's Park,18.54351851851852
2024-01-01 10:00:00,Ta Kwu Ling,18.91111111111111
2024-01-01 10:00:00,Tai Mo Shan,14.051851851851852
2024-01-01 11:00:00,King's Park,18.82777777777778
2024-01-01 11:00:00,Ta Kwu Ling,19.366666666666667
2024-01-01 11:00:00,Tai Mo Shan,14.577777777777778
2024-01-01 12:00:00,King's Park,19.112037037037037
2024-01-01 12:00:00,Ta Kwu Ling,19.822222222222223
2024-01-01 12:00:00,Tai Mo Shan,15.103703703703705
2024-01-01 13:00:00,King's Park,19.3962962962963
2024-01-01 13:00:00,Ta Kwu Ling,20.27777777777778
2024-01-01 13:00:00,Tai Mo Shan,15.62962962962963
2024-01-01 14:00:00,King's Park,19.680555555555557
2024-01-01 14:00:00,Ta Kwu Ling,20.73333333333333
2024-01-01 14:00:00,Tai Mo Shan,16.155555555555555
2024-01-01 15:00:00,King's Park,19.964814814814815
2024-01-01 15:00:00,Ta Kwu Ling,21.188888888888886
2024-01-01 15:00:00,Tai Mo Shan,16.681481481481484
2024-01-01 16:00:00,King's Park,20.249074074074077
2024-01-01 16:00:00,Ta Kwu Ling,21.644444444444442
2024-01-01 16:00:00,Tai Mo Shan,17.20740740740741
2024-01-01 17:00:00,King's Park,20.533333333333335
2024-01-01 17:00:00,Ta Kwu Ling,22.099999999999998
2024-01-01 17:00:00,Tai Mo Shan,17.733333333333334
2024-01-01 18:00:00,King's Park,19.285714285714285
2024-01-01 18:00:00,Ta Kwu Ling,19.5
2024-01-01 18:00:00,Tai Mo Shan,15.542857142857143
2024-01-01 19:00:00,King's Park,19.28
2024-01-01 19:00:00,Ta Kwu Ling,17.84
2024-01-01 19:00:00,Tai Mo Shan,14.0
2024-01-01 20:00:00,King's Park,19.414285714285715
2024-01-01 20:00:00,Ta Kwu Ling,17.442857142857143
2024-01-01 20:00:00,Tai Mo Shan,13.385714285714286
2024-01-01 21:00:00,King's Park,19.3
2024-01-01 21:00:00,Ta Kwu Ling,17.24
2024-01-01 21:00:00,Tai Mo Shan,13.080000000000002
2024-01-01 22:00:00,King's Park,18.714285714285715
2024-01-01 22:00:00,Ta Kwu Ling,17.8
2024-01-01 22:00:00,Tai Mo Shan,12.700000000000001
2024-01-01 23:00:00,King's Park,18.64
2024-01-01 23:00:00,Ta Kwu Ling,17.14
2024-01-01 23:00:00,Tai Mo Shan,12.38
2024-01-02 00:00:00,King's Park,18.342857142857145
2024-01-02 00:00:00,Ta Kwu Ling,16.7
2024-01-02 00:00:00,Tai Mo Shan,12.142857142857142
2024-01-02 01:00:00,King's Park,18.28
2024-01-02 01:00:00,Ta Kwu Ling,16.14
2024-01-02 01:00:00,Tai Mo Shan,11.86
2024-01-02 02:00:00,King's Park,18.242857142857144
2024-01-02 02:00:00,Ta Kwu Ling,16.02857142857143
2024-01-02 02:00:00,Tai Mo Shan,11.7
2024-01-02 03:00:00,King's Park,18.22
2024-01-02 03:00:00,Ta Kwu Ling,16.22
2024-01-02 03:00:00,Tai Mo Shan,11.639999999999999
2024-01-02 04:00:00,King's Park,18.057142857142857
2024-01-02 04:00:00,Ta Kwu Ling,15.885714285714286
2024-01-02 04:00:00,Tai Mo Shan,11.557142857142859
2024-01-02 05:00:00,King's Park,17.84
2024-01-02 05:00:00,Ta Kwu Ling,15.76
2024-01-02 05:00:00,Tai Mo Shan,11.559999999999999
2024-01-02 06:00:00,King's Park,17.7
2024-01-02 06:00:00,Ta Kwu Ling,15.714285714285714
2024-01-02 06:00:00,Tai Mo Shan,7.314285714285715
2024-01-02 07:00:00,King's Park,17.5
2024-01-02 07:00:00,Ta Kwu Ling,15.24
2024-01-02 07:00:00,Tai Mo Shan,-3.0
2024-01-02 08:00:00,King's Park,17.7
2024-01-02 08:00:00,Ta Kwu Ling,15.475
2024-01-02 08:00:00,Tai Mo Shan,-3.325
2024-01-02 09:00:00,King's Park,17.892592592592592
2024-01-02 09:00:00,Ta Kwu Ling,16.14074074074074
2024-01-02 09:00:00,Tai Mo Shan,-2.8703703703703707
2024-01-02 10:00:00,King's Park,18.085185185185185
2024-01-02 10:00:00,Ta Kwu Ling,16.80648148148148
2024-01-02 10:00:00,Tai Mo Shan,-2.4157407407407407
2024-01-02 11:00:00,King's Park,18.27777777777778
2024-01-02 11:00:00,Ta Kwu Ling,17.47222222222222
2024-01-02 11:00:00,Tai Mo Shan,-1.9611111111111112
2024-01-02 12:00:00,King's Park,18.47037037037037
2024-01-02 12:00:00,Ta Kwu Ling,18.137962962962963
2024-01-02 12:00:00,Tai Mo Shan,-1.5064814814814815
2024-01-02 13:00:00,King's Park,18.66296296296296
2024-01-02 13:00:00,Ta Kwu Ling,18.803703703703704
2024-01-02 13:00:00,Tai Mo Shan,-1.0518518518518518
2024-01-02 14:00:00,King's Park,18.855555555555554
2024-01-02 14:00:00,Ta Kwu Ling,19.469444444444445
2024-01-02 14:00:00,Tai Mo Shan,-0.5972222222222223
2024-01-02 15:00:00,King's Park,19.048148148148147
2024-01-02 15:00:00,Ta Kwu Ling,20.135185185185186
2024-01-02 15:00:00,Tai Mo Shan,-0.14259259259259238
2024-01-02 16:00:00,King's Park,19.24074074074074
2024-01-02 16:00:00,Ta Kwu Ling,20.800925925925927
2024-01-02 16:00:00,Tai Mo Shan,0.3120370370370371
2024-01-02 17:00:00,King's Park,19.433333333333334
2024-01-02 17:00:00,Ta Kwu Ling,21.46666666666667
2024-01-02 17:00:00,Tai Mo Shan,0.7666666666666666
2024-01-02 18:00:00,King's Park,17.928571428571427
2024-01-02 18:00:00,Ta Kwu Ling,18.685714285714287
2024-01-02 18:00:00,Tai Mo Shan,-1.042857142857143
2024-01-02 19:00:00,King's Park,17.18
2024-01-02 19:00:00,Ta Kwu Ling,16.82
2024-01-02 19:00:00,Tai Mo Shan,0.27999999999999997
2024-01-02 20:00:00,King's Park,17.085714285714285
