Date time,Automatic Weather Station,Grass Temperature(degree Celsius)
202406010000,Tai Mo Shan,21.7
202406010000,Ta Kwu Ling,26.4
202406010000,King's Park,25.7
202406010010,King's Park,25.7
202406010010,Ta Kwu Ling,26.4
202406010010,Tai Mo Shan,21.7
202406010020,Ta Kwu Ling,26.4
202406010020,Tai Mo Shan,21.7
202406010020,King's Park,25.7
202406010030,King's Park,25.7
202406010030,Tai Mo Shan,21.7
202406010030,Ta Kwu Ling,26.4
202406010040,King's Park,25.7
202406010040,Ta Kwu Ling,26.3
202406010040,Tai Mo Shan,21.8
202406010050,Ta Kwu Ling,26.3
202406010050,Tai Mo Shan,21.8
202406010050,King's Park,25.8
202406010100,Ta Kwu Ling,26.3
202406010100,King's Park,25.8
202406010100,Tai Mo Shan,21.7
202406010110,Tai Mo Shan,21.7
202406010110,Ta Kwu Ling,26.3
202406010110,King's Park,25.9
202406010120,King's Park,25.8
202406010120,Ta Kwu Ling,26.3
202406010120,Tai Mo Shan,21.8
202406010130,King's Park,25.8
202406010130,Ta Kwu Ling,26.3
202406010130,Tai Mo Shan,21.8
202406010140,Tai Mo Shan,21.8
202406010140,Ta Kwu Ling,26.3
202406010140,King's Park,25.8
202406010150,Tai Mo Shan,21.8
202406010150,Ta Kwu Ling,26.3
202406010150,King's Park,25.8
202406010200,Ta Kwu Ling,26.3
202406010200,Tai Mo Shan,21.7
202406010200,King's Park,25.8
202406010210,King's Park,25.7
202406010210,Tai Mo Shan,21.7
202406010210,Ta Kwu Ling,26.3
202406010220,Tai Mo Shan,21.7
202406010220,King's Park,25.7
202406010220,Ta Kwu Ling,26.3
202406010230,King's Park,25.7
202406010230,Ta Kwu Ling,26.3
202406010230,Tai Mo Shan,21.8
202406010240,King's Park,25.7
202406010240,Tai Mo Shan,21.8
202406010240,Ta Kwu Ling,26.3
202406010250,King's Park,25.8
202406010250,Ta Kwu Ling,26.3
202406010250,Tai Mo Shan,21.7
202406010300,King's Park,25.8
202406010300,Ta Kwu Ling,26.4
202406010300,Tai Mo Shan,21.7
202406010310,Ta Kwu Ling,26.3
202406010310,King's Park,25.7
202406010310,Tai Mo Shan,21.8
202406010320,Tai Mo Shan,21.8
202406010320,King's Park,25.8
202406010320,Ta Kwu Ling,26.3
202406010330,King's Park,25.7
202406010330,Ta Kwu Ling,26.3
202406010330,Tai Mo Shan,21.8
202406010340,King's Park,25.6
202406010340,Ta Kwu Ling,26.3
202406010340,Tai Mo Shan,21.8
202406010350,Ta Kwu Ling,26.3
202406010350,King's Park,25.6
202406010350,Tai Mo Shan,21.8
202406010400,Ta Kwu Ling,26.3
202406010400,King's Park,25.6
202406010400,Tai Mo Shan,21.8
202406010410,Tai Mo Shan,21.8
202406010410,King's Park,25.6
202406010410,Ta Kwu Ling,26.2
202406010420,Ta Kwu Ling,26.2
202406010420,Tai Mo Shan,21.9
202406010420,King's Park,25.2
202406010430,King's Park,25.1
202406010430,Ta Kwu Ling,26.0
202406010430,Tai Mo Shan,21.9
202406010440,King's Park,25.1
202406010440,Tai Mo Shan,22.0
202406010440,Ta Kwu Ling,25.8
202406010450,Ta Kwu Ling,25.6
202406010450,Tai Mo Shan,22.0
202406010450,King's Park,25.1
202406010500,Tai Mo Shan,21.8
202406010500,Ta Kwu Ling,25.6
202406010500,King's Park,24.9
202406010510,Tai Mo Shan,21.5
202406010510,Ta Kwu Ling,25.6
202406010510,King's Park,24.8
202406010520,Tai Mo Shan,21.3
202406010520,Ta Kwu Ling,25.7
202406010520,King's Park,24.5
202406010530,King's Park,24.6
202406010530,Ta Kwu Ling,25.8
202406010530,Tai Mo Shan,21.3
202406010540,Tai Mo Shan,21.5
202406010540,Ta Kwu Ling,25.8
202406010540,King's Park,24.7
202406010550,Tai Mo Shan,21.6
202406010550,Ta Kwu Ling,25.9
202406010550,King's Park,24.7
