Date time,Automatic Weather Station,Mean Sea Level Pressure(hPa)
202405010000,Cheung Chau,1006.9
202405010000,HK Observatory,1006.8
202405010000,Lau Fau Shan,1006.3
202405010000,Peng Chau,1006.5
202405010000,Sha Tin,1007.0
202405010000,Shek Kong,1006.1
202405010000,Chek Lap Kok,1006.5
202405010000,Ta Kwu Ling,1006.5
202405010000,Tai Po,1007.3
202405010000,Waglan Island,1006.8
202405010000,Wetland Park,1006.3
202405010000,Sheung Shui,1006.2
202405010010,Tai Po,1007.2
202405010010,Ta Kwu Ling,1006.6
202405010010,Sheung Shui,1006.2
202405010010,Shek Kong,1006.0
202405010010,Sha Tin,1006.8
202405010010,Lau Fau Shan,1006.3
202405010010,HK Observatory,1006.7
202405010010,Cheung Chau,1007.1
202405010010,Chek Lap Kok,1006.6
202405010010,Waglan Island,1006.7
202405010010,Peng Chau,1006.3
202405010010,Wetland Park,1006.5
202405010020,Chek Lap Kok,1006.4
202405010020,Wetland Park,1006.6
202405010020,HK Observatory,1006.6
202405010020,Lau Fau Shan,1006.3
202405010020,Peng Chau,1006.2
202405010020,Sha Tin,1006.8
202405010020,Cheung Chau,1006.9
202405010020,Sheung Shui,1006.2
202405010020,Ta Kwu Ling,1006.5
202405010020,Tai Po,1007.2
202405010020,Waglan Island,1006.7
202405010020,Shek Kong,1006.1
202405010030,Cheung Chau,1006.7
202405010030,Waglan Island,1006.7
202405010030,Tai Po,1007.1
202405010030,Ta Kwu Ling,1006.3
202405010030,Sheung Shui,1006.0
202405010030,Shek Kong,1005.7
202405010030,Sha Tin,1006.8
202405010030,Peng Chau,1006.1
202405010030,Lau Fau Shan,1006.2
202405010030,HK Observatory,1006.5
202405010030,Chek Lap Kok,1006.1
202405010030,Wetland Park,1006.2
202405010040,Ta Kwu Ling,1006.3
202405010040,Chek Lap Kok,1006.1
202405010040,Cheung Chau,1006.6
202405010040,HK Observatory,1006.2
202405010040,Lau Fau Shan,1006.3
202405010040,Peng Chau,1006.1
202405010040,Sha Tin,1006.7
202405010040,Shek Kong,1005.6
202405010040,Sheung Shui,1006.0
202405010040,Tai Po,1007.1
202405010040,Wetland Park,1006.3
202405010040,Waglan Island,1006.2
202405010050,Wetland Park,1006.2
202405010050,Waglan Island,1006.0
202405010050,Cheung Chau,1006.2
202405010050,HK Observatory,1005.8
202405010050,Lau Fau Shan,1006.1
202405010050,Peng Chau,1005.7
202405010050,Sha Tin,1006.2
202405010050,Shek Kong,1005.5
202405010050,Sheung Shui,1006.0
202405010050,Ta Kwu Ling,1006.3
202405010050,Tai Po,1006.7
202405010050,Chek Lap Kok,1006.1
202405010100,Peng Chau,1005.8
202405010100,Cheung Chau,1006.4
