Date time,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
202409302350,Kau Sai Chau,0.0,0.0,0.0
202409302350,King's Park,0.0,0.0,0.0
202410010000,King's Park,0.0,0.0,1.0
202410010000,Kau Sai Chau,0.0,0.0,0.0
202410010010,Kau Sai Chau,0.0,0.0,0.0
202410010010,King's Park,0.0,0.0,2.0
202410010020,Kau Sai Chau,0.0,0.0,0.0
202410010020,King's Park,0.0,0.0,2.0
202410010030,King's Park,0.0,0.0,0.0
202410010030,Kau Sai Chau,0.0,0.0,0.0
202410010040,King's Park,0.0,0.0,0.0
202410010040,Kau Sai Chau,0.0,0.0,0.0
202410010050,Kau Sai Chau,0.0,0.0,0.0
202410010050,King's Park,0.0,0.0,1.0
202410010100,Kau Sai Chau,0.0,0.0,0.0
202410010100,King's Park,0.0,0.0,2.0
202410010110,King's Park,0.0,0.0,1.0
202410010110,Kau Sai Chau,0.0,0.0,0.0
202410010120,Kau Sai Chau,0.0,0.0,0.0
202410010120,King's Park,0.0,0.0,0.0
202410010130,King's Park,0.0,0.0,5.0
202410010130,Kau Sai Chau,0.0,0.0,0.0
202410010140,Kau Sai Chau,0.0,0.0,0.0
202410010140,King's Park,0.0,0.0,2.0
202410010150,Kau Sai Chau,0.0,0.0,0.0
202410010150,King's Park,0.0,0.0,2.0
202410010200,King's Park,0.0,0.0,0.0
202410010200,Kau Sai Chau,0.0,0.0,0.0
202410010210,King's Park,0.0,0.0,4.0
202410010210,Kau Sai Chau,0.0,0.0,0.0
202410010220,Kau Sai Chau,0.0,0.0,0.0
202410010220,King's Park,0.0,0.0,1.0
202410010230,Kau Sai Chau,0.0,0.0,0.0
202410010230,King's Park,0.0,0.0,1.0
202410010240,King's Park,0.0,0.0,0.0
202410010240,Kau Sai Chau,0.0,0.0,0.0
202410010250,Kau Sai Chau,0.0,0.0,0.0
202410010250,King's Park,0.0,0.0,1.0
202410010300,Kau Sai Chau,0.0,0.0,0.0
202410010300,King's Park,0.0,0.0,4.0
202410010310,Kau Sai Chau,0.0,0.0,0.0
202410010310,King's Park,0.0,0.0,0.0
202410010320,Kau Sai Chau,0.0,0.0,0.0
202410010320,King's Park,0.0,0.0,1.0
202410010330,King's Park,0.0,0.0,2.0
202410010330,Kau Sai Chau,0.0,0.0,0.0
202410010340,King's Park,0.0,0.0,0.0
202410010340,Kau Sai Chau,0.0,0.0,0.0
202410010350,King's Park,0.0,0.0,1.0
202410010350,Kau Sai Chau,0.0,0.0,0.0
202410010400,Kau Sai Chau,0.0,0.0,0.0
202410010400,King's Park,0.0,0.0,3.0
202410010410,King's Park,0.0,0.0,0.0
202410010410,Kau Sai Chau,0.0,0.0,0.0
202410010420,King's Park,0.0,0.0,3.0
202410010420,Kau Sai Chau,0.0,0.0,0.0
202410010430,Kau Sai Chau,0.0,0.0,0.0
202410010430,King's Park,0.0,0.0,0.0
202410010440,Kau Sai Chau,0.0,0.0,0.0
202410010440,King's Park,0.0,0.0,3.0
202410010450,King's Park,0.0,0.0,0.0
202410010450,Kau Sai Chau,0.0,0.0,0.0
202410010500,Kau Sai Chau,0.0,0.0,0.0
202410010500,King's Park,0.0,0.0,1.0
202410010510,King's Park,0.0,0.0,1.0
202410010510,Kau Sai Chau,0.0,0.0,0.0
202410010520,Kau Sai Chau,0.0,0.0,0.0
202410010520,King's Park,0.0,0.0,2.0
202410010530,King's Park,0.0,0.0,3.0
202410010530,Kau Sai Chau,0.0,0.0,0.0
202410010540,King's Park,0.0,0.0,1.0
202410010540,Kau Sai Chau,0.0,0.0,0.0
202410010550,King's Park,0.0,0.0,2.0
202410010550,Kau Sai Chau,0.0,0.0,0.0
202410010600,Kau Sai Chau,0.0,0.0,0.0
202410010600,King's Park,0.0,0.0,2.0
202410010610,King's Park,0.0,0.0,1.0
202410010610,Kau Sai Chau,0.0,0.0,0.0
202410010620,King's Park,2.0,0.0,2.0
202410010620,Kau Sai Chau,3.0,0.0,3.0
202410010630,King's Park,16.0,0.0,9.0
202410010630,Kau Sai Chau,14.0,3.0,14.0
202410010640,King's Park,31.0,0.0,16.0
202410010640,Kau Sai Chau,28.0,5.0,27.0
202410010650,King's Park,44.0,0.0,29.0
202410010650,Kau Sai Chau,43.0,4.0,42.0
202410010700,Kau Sai Chau,58.0,12.0,55.0
202410010700,King's Park,93.0,0.0,40.0
202410010710,Kau Sai Chau,109.0,185.0,70.0
202410010710,King's Park,78.0,0.0,54.0
202410010720,King's Park,187.0,0.0,62.0
202410010720,Kau Sai Chau,131.0,178.0,88.0
202410010730,Kau Sai Chau,218.0,403.0,98.0
202410010730,King's Park,221.0,1.0,76.0
202410010740,King's Park,258.0,2.0,85.0
202410010740,Kau Sai Chau,265.0,476.0,108.0
202410010750,Kau Sai Chau,312.0,538.0,113.0
202410010750,King's Park,297.0,227.0,93.0
202410010800,King's Park,351.0,519.0,105.0
