Datetime,Automatic Weather Station,Global Solar Radiation(watt/square meter),Direct Solar Radiation(watt/square meter),Diffuse Radiation(watt/square meter)
2024-01-01 00:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 00:00:00,King's Park,0.0,0.0,0.0
2024-01-01 01:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 01:00:00,King's Park,0.0,0.0,0.0
2024-01-01 02:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 02:00:00,King's Park,0.0,0.0,0.0
2024-01-01 03:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 03:00:00,King's Park,0.0,0.0,0.0
2024-01-01 04:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 04:00:00,King's Park,0.0,0.0,0.0
2024-01-01 05:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 05:00:00,King's Park,0.0,0.0,0.0
2024-01-01 06:00:00,Kau Sai Chau,0.0,0.0,0.0
2024-01-01 06:00:00,King's Park,0.0,0.0,0.0
2024-01-01 07:00:00,Kau Sai Chau,4.8,0.4,4.8
2024-01-01 07:00:00,King's Park,5.6,0.0,5.2
2024-01-01 08:00:00,Kau Sai Chau,69.28571428571429,0.14285714285714285,68.14285714285714
2024-01-01 08:00:00,King's Park,83.42857142857143,6.0,75.85714285714286
2024-01-01 09:00:00,Kau Sai Chau,173.0,2.2,169.4
2024-01-01 09:00:00,King's Park,272.4,122.2,204.8
2024-01-01 10:00:00,Kau Sai Chau,477.14285714285717,237.42857142857142,338.14285714285717
2024-01-01 10:00:00,King's Park,445.57142857142856,252.85714285714286,283.42857142857144
2024-01-01 11:00:00,Kau Sai Chau,446.4,156.6,331.0
2024-01-01 11:00:00,King's Park,664.8,634.6,237.6
2024-01-01 12:00:00,Kau Sai Chau,620.5714285714286,489.85714285714283,258.57142857142856
2024-01-01 12:00:00,King's Park,674.0,637.7142857142857,211.28571428571428
2024-01-01 13:00:00,Kau Sai Chau,659.4,536.4,268.0
2024-01-01 13:00:00,King's Park,670.4,618.0,223.4
2024-01-01 14:00:00,Kau Sai Chau,576.5714285714286,483.2857142857143,253.0
2024-01-01 14:00:00,King's Park,598.0,561.8571428571429,226.57142857142858
2024-01-01 15:00:00,Kau Sai Chau,462.2,422.2,228.6
