station,Latitude,Longitude,station_code
CENTRAL/WESTERN,22.284901897358164,114.14441687181707,CWA
KWAI CHUNG,22.35711768848827,114.12959388210052,KCA
KWUN TONG,22.309617681982278,114.23117526315664,KTA
NORTH,22.496698356485762,114.1282440834926,NRA
SOUTHERN,22.247471445349603,114.16013158508116,SA
SHAM SHUI PO,22.330244747250173,114.1591351965462,SSA
SHATIN,22.376277662317694,114.18452067395403,STA
TUNG CHUNG,22.28890092178939,113.94365790503804,TCA
TSEUNG KWAN O,22.31764378203778,114.25956276241934,TKA
TAP MUN,22.471336390546853,114.36072197205134,TMA
TUEN MUN,22.39115529710469,113.97671759260759,TUA
TAI PO,22.45094754324469,114.1645555962737,TPA
TSUEN WAN,22.371753313162028,114.11450855826709,TWA
YUEN LONG,22.44510264018287,114.0225285941624,YLA
CENTRAL,22.281790591499757,114.15812925195134,CTA
MONG KOK,22.322624978748877,114.16826777168687,MKA
CAUSEWAY BAY,22.280125319106936,114.18506211817244,CBA
