station,station_code,Latitude,Longitude,lat_idx,lon_idx
Beas River,BR1,22.493333333333336,114.105,37,29
Bluff Head,BHD,22.1975,114.21194444444444,4,41
Central Pier,CP1,22.28888888888889,114.15583333333332,15,35
Cheung Chau,CCH,22.20111111111111,114.02666666666669,5,21
Clear Water Bay,CWB,22.26333333333333,114.2997222222222,12,51
Green Island,GI,22.285,114.11277777777777,14,30
Happy Valley,HPV,22.270555555555557,114.18361111111112,12,38
Hong Kong Park,HKP,22.27833333333333,114.16222222222224,13,36
Kai Tak,SE,22.309722222222224,114.21333333333334,17,42
Kai Tak Runway Park,SE1,22.305,114.21694444444444,16,42
Kadoorie Farm and Botanic Garden,KFB,22.43277777777778,114.12083333333332,30,31
Kat O,KAT,22.53638888888889,114.30194444444444,42,51
Kau Sai Chau,KSC,22.37027777777778,114.3125,24,53
King's Park,KP,22.31194444444445,114.17277777777778,17,37
Kowloon City,KLT,22.335,114.18472222222222,20,38
Kwun Tong,KTG,22.31861111111111,114.22472222222224,18,43
Lamma Island,LAM,22.22611111111111,114.1086111111111,8,30
Lau Fau Shan,LFS,22.468888888888888,113.98361111111112,34,16
Nei Lak Shan,NLS,22.26333333333333,113.91111111111113,12,8
New Tsing Yi Station,TY1,22.344166666666663,114.11,21,30
Ngong Ping,NGP,22.25861111111111,113.91277777777778,11,8
Pak Tam Chung (Tsak Yue Wu),TYW,22.40277777777777,114.32305555555556,27,54
Peng Chau,PEN,22.291111111111118,114.04333333333334,15,23
Ping Chau,EPC,22.546666666666667,114.42833333333334,43,65
Sai Kung,SKG,22.37555555555556,114.27444444444444,24,48
Sha Lo Wan,SLW,22.291111111111118,113.90694444444443,15,7
Sha Tin,SHA,22.4025,114.21,27,41
Sham Shui Po,SSP,22.335833333333333,114.13694444444444,20,33
Shau Kei Wan,SKW,22.281666666666663,114.23611111111111,14,44
Shek Kong,SEK,22.43611111111111,114.0847222222222,31,27
Sheung Shui,SSH,22.501944444444444,114.1111111111111,38,30
Stanley,STY,22.214166666666667,114.21861111111112,6,42
Ta Kwu Ling,TKL,22.52861111111111,114.15666666666668,41,35
Tai Lung,TLS,22.484722222222224,114.1175,36,31
Tai Mei Tuk,PLC,22.475277777777777,114.2375,35,44
Tai Mo Shan,TMS,22.410555555555558,114.12444444444444,28,32
Tai Po(Yuen Chau Tsai Park),YCT,22.44833333333333,114.17722222222224,32,37
Tap Mun,TAP,22.47138888888889,114.36055555555556,35,58
Tate's Cairn,TC,22.35777777777778,114.21777777777778,22,42
The Peak,VP1,22.264166666666668,114.155,12,35
Tseung Kwan O,JKB,22.31583333333333,114.25555555555556,17,46
Tsuen Wan,TWN,22.38361111111111,114.10777777777776,25,30
Tsuen Wan Shing Mun Valley,TW,22.37555555555556,114.12666666666668,24,32
Tuen Mun Children and Juvenile Home,TU1,22.38583333333333,113.96416666666669,25,14
Waglan Island,WGL,22.182222222222222,114.30333333333331,3,52
Wetland Park,WLP,22.466666666666665,114.00888888888888,34,19
Wong Chuk Hang,HKS,22.247777777777777,114.17361111111111,10,37
Wong Tai Sin,WTS,22.33944444444444,114.20527777777778,20,41
Yuen Long Park,YLP,22.44083333333333,114.01833333333332,31,20
"Automatic Weather Buoy No.2 (Hong Kong International Airport, West)",WB2,22.291111111111118,113.8822222222222,15,5
"Automatic Weather Buoy No.8 (Hong Kong International Airport, East)",WB8,22.30583333333333,113.9538888888889,16,13
Cheung Chau Beach,CCB,22.210833333333333,114.02916666666668,6,21
North Point,NP,22.294444444444448,114.19972222222222,15,40
Sha Chau,SC,22.34583333333333,113.89111111111112,21,6
Shell Oil Depot,SHL,22.346666666666664,114.08638888888888,21,27
Star Ferry(Kowloon),SF,22.29305555555556,114.16861111111112,15,37
Tai Mo To,TMT,22.329722222222223,113.96666666666668,19,14
Tai O,TO,22.25611111111111,113.85472222222222,11,2
Tai Po Kau,TPK,22.4425,114.18416666666668,32,38
Tuen Mun Government Offices,TUN,22.390555555555554,113.97666666666667,26,15
Yi Tung Shan,YTS,22.259166666666665,113.96416666666669,11,14
Tap Mun East,TME,22.46833333333333,114.36305555555556,34,58
Hong Kong Observatory,HKO,22.301944444444445,114.17416666666666,16,37
Hong Kong International Airport,HKA,22.309444444444445,113.92194444444443,17,9
Tsing Yi Wind Station,TYW,22.346666666666664,114.08611111111112,21,27
Hong Kong Sea School,SS,22.21833333333333,114.21388888888887,7,42
